ra,dec,redshift,extinction_r
225.29522,10.384518,0.05417348,0.07000098
225.35566,10.223875,0.1438536,0.06661188
225.07388,10.852725,0.1708017,0.08388697
225.10838,10.753903,0.03881621,0.08439889
225.2441,10.859225,0.1234035,0.08721562
225.246,10.72852,0.07520249,0.08473416
225.25311,10.764096,0.08613344,0.08499759
225.29484,10.707375,0.2039245,0.08303443
225.29457,10.708151,0.2036297,0.08304421
225.21638,10.722199,0.2280328,0.0855271
225.33472,10.790949,0.0858421,0.08452068
225.46242,10.838842,0.1887486,0.08348655
214.72928,10.120465,0.137426,0.06812671
214.76574,10.07483,0.2197609,0.06851164
214.79686,10.214682,0.2119188,0.06949928
214.84322,10.618272,0.2048855,0.06559716
214.78746,11.0442,0.02912494,0.06877464
214.74381,11.497901,0.02547035,0.07269288
214.7799,11.362118,0.05940823,0.07484002
225.11259,10.080179,0.07939106,0.06787542
225.18833,10.05422,0.07884786,0.06659487
225.39973,10.08335,0.1485736,0.06242795
239.69513,24.886846,0.2657748,0.1775271
239.73826,24.979109,0.0432467,0.1687921
239.79929,24.96555,0.1500327,0.1656489
239.80922,24.891038,0.1718396,0.1730681
214.78743,11.938514,0.1236091,0.06041757
214.81298,11.883278,0.05402321,0.06046503
214.86475,11.851668,0.2611605,0.06028378
214.92746,11.851891,0.2614292,0.06228882
225.08995,10.516843,0.1236227,0.06555028
225.45153,10.430987,0.1700435,0.07163909
214.73051,12.255139,0.02979687,0.05133348
214.8533,12.239201,0.1979307,0.05588179
225.19363,10.901611,0.1684191,0.08670459
225.07448,11.343353,0.02002818,0.08183847
225.18606,11.322271,0.09688172,0.08526776
225.10214,11.181356,0.02220334,0.09278654
225.24184,11.144079,0.1507644,0.08757614
214.78842,13.187306,0.0815987,0.04433449
214.87233,13.086696,0.1627012,0.04902307
225.1439,11.759259,0.1801634,0.08115179
225.14453,11.639605,0.1259276,0.07735799
225.39837,11.726886,0.167345,0.08812651
225.38875,11.625409,0.07830739,0.08717151
225.41133,11.600017,0.03394535,0.08681105
225.44162,11.668587,0.0536433,0.09100087
225.45371,11.692988,0.04271512,0.09065951
225.46787,11.627349,0.07381431,0.08988435
225.45856,11.536869,0.09621064,0.08482434
