ra,dec,redshift,extinction_r
117.62765,22.368026,0.5521595,0.1613808
117.71637,23.290599,0.4958909,0.1612795
138.19793,10.002352,0.4775978,0.161222
116.56696,22.201632,0.5318285,0.1612115
128.21687,13.320382,0.5817643,0.1612011
118.38455,24.520606,0.5603305,0.1611671
119.31731,22.00724,0.5037306,0.1611548
122.71341,16.274894,0.5137107,0.161104
129.42563,13.539238,0.3459545,0.1610372
118.6459,21.372574,0.5143972,0.1609956
118.00804,22.600915,0.5076682,0.1609491
118.09794,22.69707,0.3993286,0.160758
128.42067,13.162746,0.3469764,0.1607013
118.44513,23.980306,0.4568841,0.160691
117.55929,23.274029,0.4920188,0.1606527
117.88068,23.923202,0.5310302,0.1606281
117.6677,23.259899,0.5084105,0.1604355
116.60588,22.165416,0.5334491,0.1602518
118.58091,21.417099,0.4840928,0.1602323
118.66133,21.371778,0.5140489,0.160232
119.72788,21.117402,0.4223489,0.1601249
118.99276,24.921416,0.3377883,0.1601205
118.04306,24.56113,0.4520553,0.1600612
117.93325,22.812392,0.5314884,0.1600608
130.4966,12.245454,0.4551426,0.1600578
118.26909,22.555572,0.3753314,0.159991
118.65589,24.039561,0.4551955,0.1599524
122.69027,16.130169,0.4144418,0.1599406
118.3597,24.545908,0.5252559,0.1598548
121.89206,17.545458,0.3957915,0.1597529
130.92269,10.329896,0.4566442,0.159733
117.58582,23.636908,0.5106615,0.1597242
119.95729,22.791148,0.4960181,0.1597169
117.89978,22.929386,0.4525058,0.1596753
118.13859,24.343006,0.49139,0.1596381
116.47401,20.097776,0.4771965,0.1595556
120.16507,22.653363,0.342636,0.1595481
128.20136,13.402419,0.5807038,0.1594369
130.34285,13.212848,0.4725849,0.1594201
118.45255,23.997154,0.5593543,0.15942
117.89402,21.047178,0.4788244,0.1592182
120.29263,22.30127,0.5686132,0.1591963
118.54763,24.823134,0.5467909,0.159196
117.86191,22.249772,0.4472367,0.1591615
138.92912,22.504628,0.4025764,0.1591542
145.02628,13.926774,0.3363509,0.1591201
119.8964,22.854766,0.5857639,0.1590891
118.11296,22.712192,0.3994882,0.1590496
144.96869,13.985423,0.3660603,0.1590433
118.54176,21.35746,0.4833562,0.1590403
118.51192,24.804644,0.3233818,0.1590361
119.93983,22.96151,0.572299,0.1590286
119.8251,22.925629,0.4975153,0.1589954
117.9538,22.789806,0.5483858,0.1589736
119.95847,22.996199,0.5983698,0.1589563
119.8509,22.935027,0.4632393,0.1589349
122.77276,16.342911,0.5103295,0.1589263
118.44415,22.471413,0.4519652,0.1589087
116.93701,21.957476,0.487606,0.158799
117.88332,23.301291,0.5034918,0.1587558
124.22448,23.07807,0.4301196,0.1587107
118.74052,20.640301,0.4682513,0.1587071
120.42696,22.332557,0.4906651,0.1586935
116.96843,21.971577,0.3899609,0.1586882
118.40149,22.663125,0.4647002,0.1586569
137.78129,13.910308,0.5618234,0.1586272
145.03248,13.944376,0.5304981,0.1586012
122.80413,15.81345,0.3596942,0.1585795
118.45312,24.564646,0.3124945,0.1585661
117.76286,23.220527,0.5061603,0.1585261
118.45415,22.616796,0.5010747,0.1585237
117.78152,23.210992,0.4501413,0.1585155
