ra,dec,redshift,extinction_r
158.55215,0.0067072657,0.1602271,0.1625708
166.33691,4.1399464,0.1575426,0.1625404
172.65575,7.6376721,0.101746,0.16244
157.22498,0.70976421,0.1430607,0.1623924
170.34759,6.4158309,0.09829846,0.1623306
170.39328,6.5559859,0.2374774,0.1622743
158.53131,-0.048169097,0.0648981,0.1622577
169.95679,6.1029703,0.2560398,0.1622164
159.05014,0.26169632,0.1128251,0.1621955
169.55887,5.7046761,0.1024549,0.1621445
158.54674,-0.4611395,0.1154692,0.1621402
158.53383,-0.029332649,0.1882862,0.1621258
157.226,0.71953373,0.145606,0.1620975
159.22231,0.30687081,0.09537528,0.1619775
158.53605,0.001040409,0.06492368,0.1618322
171.24852,7.5146347,0.08145013,0.1615982
170.31518,6.7666258,0.04105842,0.1615546
157.21847,0.38906749,0.2218563,0.1614724
159.49476,-0.096064599,0.2227749,0.1614249
158.49641,-0.14357021,0.2356339,0.1613878
168.9146,2.5604615,0.0768662,0.161313
158.50361,0.2265668,0.184217,0.1612141
166.54258,4.2972901,0.03058476,0.1612059
169.76665,5.7228778,0.1505107,0.1611928
170.44632,6.0836773,0.1488021,0.1609004
158.51636,0.056643273,0.1954959,0.1608752
171.75491,7.0739481,0.07183164,0.1608365
171.81852,7.1216492,0.2465459,0.1608082
166.55392,4.3075141,0.2028434,0.1607641
158.81302,-0.54158222,0.160006,0.1607168
169.06109,6.2933515,0.0753458,0.1606967
169.0115,5.7088806,0.06107312,0.1606893
158.69871,0.30183846,0.06440401,0.1606467
168.39416,5.8486026,0.09181525,0.160574
156.07936,-0.32091085,0.1108964,0.1605538
172.15928,7.4009422,0.1131466,0.1605279
156.56372,-0.45639908,0.171845,0.1604923
171.09288,6.952543,0.06330188,0.1604027
168.37121,5.8551976,0.1827146,0.1603798
170.39563,6.4850442,0.09972586,0.1603648
169.25795,5.573405,0.08164768,0.1601921
168.78436,2.6313153,0.2780048,0.1601349
158.48539,0.070894962,0.06500728,0.1601219
158.80625,-0.55142823,0.1596897,0.1601187
158.45503,0.16152057,0.0558084,0.1601119
158.4465,-0.29413448,0.03149837,0.1601096
158.47419,0.076532904,0.1871049,0.159992
159.1523,-0.57937496,0.1579997,0.1599734
166.56702,4.321534,0.1878271,0.1599557
169.03345,6.1811715,0.08192547,0.1599351
159.37088,0.19426466,0.09646114,0.1598758
158.09595,-0.66166342,0.05448327,0.1596828
166.03912,1.2320214,0.252135,0.1596483
171.66791,7.5616155,0.07107035,0.159565
168.39335,5.8327942,0.1839734,0.1594846
166.03169,3.8404199,0.1421783,0.1594307
167.9728,4.9136453,0.1529945,0.1594156
159.34489,-0.51347781,0.1139037,0.1593765
156.51582,-0.62886737,0.1584459,0.1593741
158.63299,0.33239538,0.06571065,0.159363
158.43529,-0.30071505,0.0316402,0.1593212
154.41757,2.032622,0.1063392,0.159282
158.03537,-0.64204342,0.05521342,0.1592422
158.41758,0.19904,0.0874716,0.1592126
171.24328,7.6273581,0.04144103,0.1592099
171.79073,6.9159374,0.2937509,0.159161
158.58763,0.34033769,0.1503527,0.159137
171.1794,7.5462791,0.08132691,0.1590749
171.16054,8.6888379,0.1409514,0.1590365
158.63393,0.3416293,0.151277,0.1589767
170.69434,4.3237103,0.1985468,0.1589259
169.54627,5.6497113,0.1104348,0.158791
171.28891,6.9928897,0.07331359,0.1587829
169.62682,7.29389,0.03055331,0.1587503
169.25779,5.5593383,0.2235838,0.1587198
159.0575,-0.58408185,0.0950123,0.1586286
158.66993,0.35457049,0.09680837,0.1585631
171.55382,8.5981142,0.139991,0.1585509
166.38688,4.197879,0.02100552,0.1585097
158.73286,0.35781554,0.06610333,0.1584429
158.61661,0.35764758,0.2200462,0.1584267
158.72095,-0.56788236,0.1896299,0.1583997
168.81242,2.6647289,0.07824656,0.1583968
169.72486,5.5948034,0.282098,0.1583364
166.54545,4.3360901,0.02153325,0.1582984
170.63092,6.741844,0.04007747,0.1582757
158.39138,0.08800133,0.08528272,0.1582643
170.92405,6.8756989,0.09829924,0.1582318
158.39212,0.033318518,0.1607156,0.1581124
158.95579,-0.60436811,0.09557114,0.1580997
159.42306,0.091797813,0.08264635,0.1580944
158.58042,0.3670403,0.1173905,0.158079
158.39912,-0.49166649,0.1531435,0.1580647
158.61076,-0.57131927,0.1591523,0.158053
170.67752,6.6908249,0.0633559,0.1580326
156.11493,-0.3666528,0.1130156,0.1579882
170.67439,6.1752363,0.1000075,0.1579647
168.78701,2.5953921,0.07936122,0.157795
159.21644,-0.60487908,0.0952765,0.1577861
158.38416,-0.41830836,0.1160133,0.1577345
158.17861,-0.50378623,0.1503333,0.15769
158.7454,-0.5928161,0.1151684,0.1576665
172.38534,7.689495,0.1164119,0.1576183
166.08622,3.79985,0.09577239,0.1575886
169.20714,5.5429064,0.2239742,0.1575873
170.06174,5.8304634,0.2300482,0.1575646
170.22074,6.2910069,0.2924684,0.1575175
158.53182,0.38130375,0.03219977,0.1575138
154.25703,2.0122851,0.05299543,0.1574075
157.45878,0.63558093,0.09626278,0.1573873
156.46386,-0.58817712,0.1589206,0.1573595
156.30458,-0.51423294,0.1109957,0.1572219
158.46399,-0.56135194,0.03133979,0.157181
170.35871,6.4531991,0.09861622,0.1569922
170.84636,6.8179867,0.09793012,0.1569231
167.52417,5.2509164,0.07587967,0.1568913
158.48106,0.39586935,0.160197,0.156889
158.55363,0.40272554,0.1412457,0.1568699
158.34728,0.15807907,0.09637783,0.1568426
158.61269,-0.60180867,0.1843514,0.1568348
171.77392,6.9066159,0.2937998,0.156792
158.22502,-0.70056931,0.1484485,0.1567833
168.78919,2.6990228,0.04422893,0.1567705
157.9398,-0.64112472,0.1495194,0.1567509
171.63045,7.1532756,0.1341459,0.1567409
167.4731,5.2634122,0.07460768,0.156722
166.1417,4.0320794,0.1728393,0.1566352
166.35911,4.2308331,0.2108558,0.1566289
158.46759,0.40264458,0.07234825,0.1566027
157.93858,-0.55421487,0.116617,0.1565592
158.50163,0.41093199,0.1499619,0.1565056
158.46579,0.41494196,0.0723849,0.1562366
157.92076,-0.56046694,0.1193563,0.1562116
171.78484,7.134074,0.2950703,0.1562042
157.97066,-0.68281398,0.1493931,0.15611
158.06932,-0.46452766,0.03112193,0.1561069
158.75383,-0.66930432,0.03878377,0.1561062
158.30305,-0.45747148,0.1171726,0.1560814
158.2837,-0.65910227,0.2252948,0.1560725
158.33258,-0.6016073,0.05050373,0.1560133
171.86221,6.8848978,0.01896465,0.1559742
154.06982,1.9148729,0.0706242,0.1559554
158.02211,-0.7099955,0.03308398,0.1559055
158.51809,0.43849244,0.06583022,0.1557948
166.51212,4.4236801,0.02121222,0.1557461
159.00777,-0.63012616,0.09535529,0.1556989
157.27862,0.78484484,0.1148231,0.1556371
158.31342,0.00084278358,0.03250533,0.1556184
157.44635,0.45089975,0.1470157,0.1555995
167.52359,5.2782611,0.2657165,0.1555461
156.51159,-0.65325008,0.1592525,0.1555411
157.45377,0.48455928,0.09568932,0.1555062
158.37737,-0.25603146,0.0948984,0.1555019
157.45545,0.47994318,0.2179365,0.15549
166.5098,4.4293677,0.02141796,0.1554854
156.88092,0.62081618,0.117243,0.1554162
170.4488,4.1646594,0.04904125,0.1553879
166.37182,4.1210719,0.1322971,0.1553691
158.86882,0.48783232,0.06505076,0.1553489
171.06664,6.9320682,0.0747551,0.1553428
157.46493,0.5007956,0.09638181,0.1553059
168.36913,5.5236919,0.1029588,0.1553058
171.38666,8.5110891,0.1059538,0.1552983
158.33553,0.37002604,0.07197936,0.1552721
168.14948,4.9729669,0.02727856,0.1552711
171.15748,8.5201528,0.06066193,0.155237
156.57545,-0.66806238,0.1118258,0.1552353
166.14124,4.1759048,0.1349655,0.1552148
157.39755,0.46179901,0.05095989,0.1551057
167.46203,5.254964,0.07566778,0.1550951
157.48019,0.43113638,0.09702763,0.1550533
158.30665,-0.39807261,0.08478334,0.155004
157.09278,-0.067301514,0.09483831,0.1549699
170.72748,7.3236948,0.0393647,0.1549698
159.56216,0.010316133,0.126486,0.1549678
158.23834,-0.41377025,0.1181706,0.1549487
171.12735,8.8239085,0.1022245,0.1548712
157.83856,-0.59608365,0.1174573,0.1548314
169.32381,5.5126508,0.04846016,0.1548276
169.01877,2.4963009,0.07634982,0.1548247
169.10263,2.4127421,0.07636938,0.1548139
170.19997,6.1836461,0.0408269,0.1547991
170.15882,6.0408456,0.1623508,0.1547398
159.20777,-0.63144405,0.06355976,0.1547029
170.05183,3.4588827,0.03206865,0.1546539
158.90992,0.48728898,0.06554368,0.1546474
169.54422,5.5957735,0.1419626,0.1546419
156.89066,0.53896858,0.0729344,0.1546158
158.22066,-0.74328263,0.08575514,0.1545994
154.68487,2.0210678,0.09643195,0.1545825
171.02286,7.5775925,0.07417302,0.1545468
156.48145,-0.63100928,0.161758,0.1545434
157.50687,0.55139247,0.117711,0.1545316
168.33843,5.0923719,0.02695611,0.1544755
168.97273,5.7308269,0.221745,0.1544581
158.14997,-0.76007458,0.07359935,0.1544519
166.18048,4.2125179,0.1453895,0.1543972
154.05178,1.9396116,0.0706007,0.1543947
154.65514,2.0619201,0.1222228,0.1543806
166.24526,4.2325367,0.143942,0.1543267
168.5409,0.36087602,0.09778262,0.1543251
170.05985,6.487941,0.07536074,0.1543077
168.33709,5.825086,0.2180236,0.1542957
158.25288,-0.38042788,0.05515788,0.1542401
171.07185,6.9242218,0.07539877,0.1542083
169.58568,7.1609605,0.1740626,0.1541409
157.81639,-0.62996405,0.08578822,0.1541358
171.02052,7.5777959,0.07372918,0.1540838
169.00129,6.2463544,0.08217743,0.154066
157.7796,-0.75595496,0.2228232,0.1540529
170.30807,6.7377198,0.09199594,0.154041
157.85659,-0.71363365,0.1174238,0.1540265
159.52566,0.20684515,0.04987152,0.1540203
157.81949,-0.67018532,0.03710879,0.1540145
159.30897,-0.629998,0.1612843,0.153994
158.24448,-0.35976355,0.1406822,0.1539782
159.02734,-0.65377225,0.1153168,0.1539493
156.4059,-0.56463716,0.1692727,0.1539483
158.53133,-0.65951805,0.06515618,0.1539336
158.33212,0.41619705,0.09748447,0.1539258
172.10983,7.3385571,0.09218246,0.1538242
156.55451,-0.67025714,0.1584167,0.1537641
169.163,2.4213658,0.07598574,0.1537241
159.03373,-0.65581913,0.0635918,0.1537229
158.92373,-0.75351888,0.1136446,0.1536398
171.08258,6.9149734,0.08241683,0.1535828
169.38953,5.4082839,0.110062,0.1535707
158.92842,-0.75271925,0.1156046,0.1535689
158.33111,-0.69504305,0.08540742,0.1534999
158.25796,0.31688479,0.09676842,0.1533802
168.52763,0.41937696,0.1283838,0.1533636
159.24186,-0.64477716,0.08239438,0.1533564
158.2423,-0.23285955,0.03404677,0.1533559
158.14517,-0.35568106,0.245309,0.153322
167.50698,5.3037587,0.02895672,0.1531781
158.26077,0.095304805,0.1841461,0.1531657
157.75167,-0.62759296,0.05590439,0.153146
158.4971,-0.67308346,0.07408845,0.1531404
169.03554,2.4550094,0.1607545,0.1530879
158.23706,-0.14877672,0.09436746,0.1530806
171.61019,8.6392948,0.09810167,0.1530805
169.08725,-0.56264575,0.04302324,0.1530383
168.78519,2.7259707,0.07826353,0.1529401
157.99322,-0.77788504,0.046953,0.1528975
169.52374,5.5938408,0.1091363,0.152892
157.87763,-0.83072171,0.135922,0.15289
158.38673,-0.68594016,0.03176328,0.1528091
171.45714,7.5127433,0.2364426,0.1527781
171.43531,7.5456092,0.1039609,0.1527745
158.54431,0.6072844,0.2304699,0.1527395
170.94761,6.5259455,0.1430158,0.1527375
